Computed in 10Optics2_Marshall_sensitivity_carbon.R
# aPH compiled from literature (Literature_spectra6.xls) (m2 mgChla-1)
# aPS reconstructed based on Bidigare/Babin/Hickman (m2 mgChla-1)
# b converted to mol-specific from Dutkiewicz2015 (m2 mmolC-1)
# non-spectral bb converted to mol-specific from Dutkiewicz2015 (m2 molC-1)
Format I4,3F10.4,F20.14
*** Others ***
 400    0.0522    0.0466    0.0679    0.000116978
 425    0.0632    0.0528    0.0641    0.000116978
 450    0.0640    0.0457    0.0639    0.000116978
 475    0.0526    0.0330    0.0650    0.000116978
 500    0.0391    0.0259    0.0680    0.000116978
 525    0.0212    0.0198    0.0679    0.000116978
 550    0.0156    0.0165    0.0663    0.000116978
 575    0.0115    0.0122    0.0643    0.000116978
 600    0.0098    0.0104    0.0609    0.000116978
 625    0.0114    0.0121    0.0574    0.000116978
 650    0.0143    0.0152    0.0539    0.000116978
 675    0.0257    0.0271    0.0508    0.000116978
 700    0.0109    0.0119    0.0554    0.000116978
*** Diatom ***
 400    0.0371    0.0371    0.0422    2.88e-06
 425    0.0419    0.0419    0.0403    2.88e-06
 450    0.0417    0.0417    0.0403    2.88e-06
 475    0.0342    0.0342    0.0425    2.88e-06
 500    0.0278    0.0278    0.0434    2.88e-06
 525    0.0177    0.0177    0.0442    2.88e-06
 550    0.0114    0.0114    0.0437    2.88e-06
 575    0.0077    0.0077    0.0431    2.88e-06
 600    0.0071    0.0071    0.0421    2.88e-06
 625    0.0088    0.0088    0.0409    2.88e-06
 650    0.0103    0.0103    0.0388    2.88e-06
 675    0.0204    0.0204    0.0359    2.88e-06
 700    0.0093    0.0093    0.0371    2.88e-06
